ds;y;Keys
42-2018;201.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97209-80007710-DCP Kalkunbryst kogt. r?get 2xca. 1.5 kg??
43-2018;162.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80001642-DCP Skinke rund.kgt.rg. 1/2 4x2000-2400g???
44-2018;403.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80002820-DCP PMM Kalkunbryst paprika 6x500g..???
45-2018;324.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004251-DCP Hamburgerryg 6x2/250g duopak..???
46-2018;240.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004254-DCP Kalkunbryst 6x2/250g duopak..???
47-2018;319.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004255-DCP Kamsteg 6x2/250g duopak..???
48-2018;324.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004256-DCP Kyllingebryst 6x2/250g duopak..???
49-2018;380.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004257-DCP Rullep?lse 6x2/250g duopak..??
50-2018;140.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004259-DCP R?get filet 6x2/250g duopak..??
51-2018;207.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004260-DCP Saltk?d 6x2/250g duopak..??
52-2018;201.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004262-DCP Skinke 6x500g..???
01-2019;190.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004264-DCP Skinke Firkantet 6x2/250g duopak..???
02-2019;296.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80004275-DCP Roastbeef 6x2/250g duopak..???
03-2019;313.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97213-80005258-DCP ?ler?get skinke 6x2/250g duopak..?
04-2019;285.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-70151305-DCP Rullep?lse 4 x 1200-1600g..??
05-2019;263.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-70700688-DCP Kyllingebryst 4xca.0.9 kg.???
06-2019;324.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80001642-DCP Skinke rund.kgt.rg. 1/2 4x2000-2400g???
07-2019;168.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80002531-DCP Kalkunbryst Carry 2xca. 1.5 kg.???
08-2019;425.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
